AtlantaHawks,40,42,19855,3001,6485,420,1212,1394,1919,1051,3442,1733,608,1319,318,1813,7816
BostonCeltics,47,35,19805,3303,6820,375,1047,1601,2225,1064,3399,1998,652,1190,449,1922,8582
CharlotteHornets,32,50,19805,3088,6807,429,1289,1375,1859,1100,3463,1901,533,1194,369,1856,7980
ChicagoBulls,35,47,19830,2923,6408,401,1150,1682,2280,1067,3319,1713,687,1441,364,1892,7929
ClevelandCavaliers,39,43,19930,2803,6082,396,1108,1364,1801,851,3097,1812,556,1176,427,1770,7366
DallasMavericks,46,36,19930,3407,6981,431,1179,1454,1981,1051,3432,1991,722,1228,501,1921,8700
DenverNuggets,41,41,19980,3050,6695,419,1208,1721,2297,1032,3228,1784,639,1132,459,1956,8240
DetroitPistons,54,28,19730,3120,6558,448,1235,1963,2720,1147,3579,2007,693,1253,434,1746,8651
GSWarriors,56,26,19905,3527,7234,492,1384,1565,2175,1197,3726,2345,865,1309,410,2132,9111
HoustonRockets,35,47,19730,3202,7061,506,1345,1407,1874,1165,3548,1940,745,1224,362,1780,8317
IndianaPacers,30,52,19780,2921,6405,475,1304,1516,2089,1048,3204,1807,691,1311,410,2052,7833
LAClippers,65,17,19880,3207,6460,388,1049,1876,2503,1082,3614,1924,693,1477,456,1905,8678
LALakers,34,48,19905,3299,7051,456,1294,1580,2234,1283,3756,2203,644,1349,488,1807,8634
MiamiHeat,50,32,19805,3092,6566,511,1417,1732,2340,1035,3386,1859,653,1286,385,1893,8427
MilwaukeeBucks,48,34,19855,3248,6589,491,1241,1517,2081,1014,3351,2103,771,1326,406,1973,8504
MinnesotaT-wolves,61,21,19780,3088,6509,468,1243,1820,2492,1169,3474,2069,703,1283,504,1983,8464
NJNets,52,30,19880,3182,6904,440,1176,1495,2073,1056,3491,1832,733,1078,437,1911,8299
NYKnicks,27,55,19780,2800,6410,397,1165,1802,2448,1021,3338,1580,639,1217,324,1907,7799
OrlandoMagic,25,57,19930,3242,7093,468,1239,1560,2106,1134,3362,1987,703,1169,371,1951,8512
Philadelphia76ers,58,24,19805,3100,6663,467,1287,1569,2057,1145,3467,1994,712,1263,421,1858,8236
PhoenixSuns,23,59,19830,3320,6963,525,1544,1590,2138,1049,3469,2149,658,1247,391,2026,8755
PortlandTrailBlazers,38,44,19705,2951,6465,472,1189,1794,2380,879,3172,1789,638,1275,402,1938,8138
SacramentoKings,43,39,19855,2964,6549,377,1240,1833,2474,1151,3420,1814,759,1309,513,2033,8138
SanAntonioSpurs,20,62,19855,3168,6974,426,1251,1491,2089,1017,3320,1876,637,1152,406,2064,8253
SeattleSupersonics,25,57,19830,3008,6637,520,1515,1848,2514,1058,3264,1849,654,1439,489,2024,8384
UtahJazz,22,60,19780,2845,6282,546,1432,1835,2477,918,3043,1713,648,1313,426,2053,8071
WashingtonBullets,61,21,19855,3246,6768,438,1145,1771,2316,1107,3628,1958,694,1318,438,1774,8701
