AtlantaHawks,54,28,19905,2968,6740,482,1345,1574,2072,1048,3533,1803,731,1086,409,1699,7992,33,2,0
BostonCeltics,46,36,19705,2894,6627,555,1534,1587,2157,1070,3594,1882,719,1334,407,1819,7930,27,1,3
NOrleansHornets,41,41,19830,2843,6443,444,1301,1407,1877,972,3449,1790,613,1204,429,1734,7537,29,1,2
ChicagoBulls,59,23,19830,2882,6611,439,1236,1673,2238,1011,3693,1890,694,1190,442,1684,7876,28,0,2
ClevelandCavaliers,47,35,19855,2956,6759,431,1162,1491,1990,970,3444,1783,635,1018,434,1655,7834,23,1,2
DallasMavericks,30,52,19805,3133,6824,534,1471,1462,1960,1009,3571,1937,582,1177,382,1689,8262,40,3,8
DenverNuggets,39,43,19730,3019,6662,376,1056,1470,2020,1056,3521,1931,664,1343,479,1895,7884,45,4,3
DetroitPistons,28,54,19780,2633,6378,356,1180,1287,1730,980,3333,1561,647,1209,410,1877,6909,36,1,1
GSWarriors,45,37,19855,2948,6630,414,1107,1399,1875,981,3513,1762,666,1101,417,1801,7709,34,2,4
HoustonRockets,37,45,19930,2636,6405,457,1227,1491,2024,908,3259,1689,710,1048,359,1694,7220,26,1,2
IndianaPacers,21,61,19805,2671,6179,329,1014,1350,1800,867,3290,1649,581,1243,513,1794,7021,32,4,6
LAClippers,54,28,19805,3075,6687,452,1256,1545,2086,1033,3391,1874,693,1070,437,1861,8147,32,2,2
LALakers,26,56,19855,2920,6640,420,1247,1472,1964,922,3480,1708,616,1186,308,2023,7732,36,2,3
MiamiHeat,40,42,19755,2658,6206,431,1256,1612,2100,893,3379,1525,578,1161,439,1728,7359,34,1,5
MilwaukeeBucks,41,41,19780,3034,6719,456,1296,1428,1932,983,3504,1870,615,1115,405,1877,7952,30,1,4
MinnesotaT-wolves,24,58,19755,2741,6625,395,1181,1426,1893,1001,3400,1701,547,1051,296,1653,7303,35,4,7
NJNets,35,47,19705,2693,6303,418,1193,1392,1830,874,3345,1627,656,1243,374,1739,7196,34,3,2
NYKnicks,43,39,19880,2785,6491,415,1228,1678,2198,950,3394,1676,675,1079,384,1599,7663,21,0,1
OrlandoMagic,61,21,19830,3169,6804,491,1301,1458,1964,1072,3642,2004,625,1057,444,1691,8287,29,1,2
Philadelphia76ers,49,33,19855,2751,6369,443,1329,1474,1982,996,3394,1747,678,1185,462,1757,7419,22,2,2
PhoenixSuns,53,29,19730,2975,6671,479,1374,1601,2092,1038,3588,1760,649,1232,431,1589,8030,25,2,2
PortlandTrailBlazers,41,41,19980,2954,6567,417,1222,1219,1618,1016,3308,1912,657,1066,390,1533,7544,16,0,4
SacramentoKings,27,55,19780,3140,6921,409,1206,1333,1780,1080,3601,1743,651,1175,413,1817,8022,36,4,5
SanAntonioSpurs,25,57,19755,2613,6388,311,951,1372,1844,909,3368,1419,635,1194,381,1837,6909,43,2,5
SeattleSupersonics,45,37,19805,2980,6622,486,1394,1570,2028,1068,3498,1728,629,1158,386,1658,8016,37,2,4
TorontoRaptors,49,33,19980,2722,6365,273,889,1536,2055,1034,3696,1518,590,1137,333,1619,7253,33,1,0
UtahJazz,40,42,19780,2541,5879,415,1209,1874,2431,868,2999,1528,666,1216,530,1999,7371,56,8,7
MemphisGrizzlies,32,50,19880,2859,6550,369,1091,1643,2150,1098,3606,1674,673,1319,461,1888,7730,39,1,7
WashingtonWizards,57,25,19830,3061,6741,424,1238,1444,1874,1048,3568,1966,787,1268,446,1783,7990,26,0,0
