AtlantaHawks,39,43,19830,3509,7074,281,833,1586,2090,1080,3493,2189,735,1358,363,1869,8885
BostonCeltics,34,48,19780,3232,6980,216,650,1739,2269,1094,3472,1971,637,1174,386,1676,8429
CharlotteHornets,38,44,19755,3634,7698,234,753,1548,2080,1350,3753,2277,599,1242,445,1923,9050
ChicagoBulls,25,57,19830,3139,6622,247,685,1584,2033,1039,3304,1918,595,1362,357,1731,8109
ClevelandCavaliers,28,54,19830,3370,7229,229,695,1334,1742,1115,3494,2109,610,1197,365,1828,8303
DallasMavericks,71,11,19730,3401,6782,234,653,2351,3072,1063,3802,2047,800,1264,518,1861,9387
DenverNuggets,46,36,19830,3324,7214,222,647,1899,2517,1159,3664,1890,750,1340,503,1983,8769
DetroitPistons,42,40,19780,3321,6906,261,769,1463,1987,1098,3541,2048,623,1216,363,1804,8366
GSWarriors,48,34,19880,3471,7197,272,794,1881,2492,1172,3519,2098,823,1350,457,1993,9095
HoustonRockets,27,55,19580,3247,7119,241,728,1440,1885,1165,3481,1967,724,1219,330,1802,8175
IndianaPacers,41,41,19755,3262,6955,216,706,1957,2635,1189,3534,1987,693,1173,387,1979,8697
LAClippers,42,40,19780,3313,7030,276,782,1854,2434,1172,3602,1969,762,1443,454,1765,8756
LALakers,43,39,19805,3436,7111,246,728,1537,2067,1154,3567,2133,695,1315,383,1866,8650
MiamiHeat,46,36,22195,3232,6791,265,781,1860,2416,1032,3456,1965,656,1297,426,2053,8589
MilwaukeeBucks,54,28,19705,3303,6843,269,792,1823,2437,1269,3667,2087,773,1471,456,1800,8698
MinnesotaT-wolves,63,19,19805,3323,6814,208,578,1830,2413,1122,3453,2144,736,1222,490,1875,8684
NJNets,39,43,19780,3222,6945,200,618,1665,2248,1102,3447,1786,780,1301,434,1881,8328
NYKnicks,22,60,19730,2822,6621,230,753,1949,2582,1031,3356,1658,670,1358,384,2010,7823
OrlandoMagic,41,41,19880,3307,7255,248,754,1682,2306,1166,3437,2091,716,1112,403,1975,8544
Philadelphia76ers,56,26,19930,3667,7557,280,782,1417,1878,1258,3892,2396,781,1288,491,1790,9029
PhoenixSuns,20,62,19705,3502,7307,250,750,1500,2078,1118,3434,2107,708,1321,512,2052,8752
PortlandTrailBlazers,31,51,19905,3332,7113,275,806,1710,2252,1029,3569,2054,645,1399,459,2077,8643
SacramentoKings,57,25,19780,3420,7024,213,680,2054,2711,1138,3700,2073,767,1442,551,2010,9107
SanAntonioSpurs,33,49,22055,3290,7178,270,747,1583,2051,1082,3470,1905,655,1127,373,1997,8433
SeattleSupersonics,27,55,19780,3143,6707,272,808,1746,2298,1075,3311,1834,655,1503,406,1853,8304
UtahJazz,35,47,19755,3258,6970,272,834,1743,2343,1120,3434,1928,648,1285,468,1970,8531
WashingtonBullets,60,22,19805,3519,7203,239,712,1583,2152,1134,3686,2059,718,1277,425,1816,8930
