AtlantaHawks,44,38,19905,3523,7342,251,732,1537,2006,1160,3705,2168,711,1253,393,1732,8834
BostonCeltics,31,51,19780,3323,7293,201,652,1601,2084,1178,3511,1923,680,1114,414,1634,8448
CharlotteHornets,51,31,19805,3717,7495,205,657,1661,2242,1253,3834,2366,621,1392,524,1750,9300
ChicagoBulls,15,67,19830,3206,6970,218,657,1525,1985,1081,3252,1841,631,1288,352,1800,8155
ClevelandCavaliers,25,57,19805,3496,7435,193,581,1294,1683,1236,3612,2156,649,1150,417,1874,8479
DallasMavericks,60,22,19755,3314,7051,183,599,1823,2368,1157,3788,1936,723,1054,456,1735,8634
DenverNuggets,58,24,19780,3346,6967,186,532,1943,2513,1109,3639,1811,780,1393,593,1787,8821
DetroitPistons,34,48,19780,3157,6973,211,625,1421,1866,1115,3370,1894,642,1117,373,1916,7946
GSWarriors,27,55,19880,3616,7507,257,776,1923,2563,1324,3760,2122,794,1512,435,2021,9412
HoustonRockets,40,42,19880,3391,7317,196,574,1529,1985,1232,3638,2131,743,1174,384,1673,8507
IndianaPacers,42,40,19955,3425,7312,216,640,1976,2627,1241,3566,2165,816,1247,386,1984,9042
LAClippers,37,45,19830,3211,6997,224,648,1706,2249,1151,3596,1784,705,1396,432,1870,8352
LALakers,39,43,19830,3183,6977,174,596,1744,2278,1156,3352,1803,756,1089,400,1543,8229
MiamiHeat,44,38,19830,3529,7157,210,606,1685,2242,1134,3549,2070,731,1316,447,1968,8953
MilwaukeeBucks,51,31,19880,3445,6911,221,603,1638,2195,1170,3489,2118,730,1420,473,1780,8749
MinnesotaT-wolves,67,15,19805,3453,7116,171,483,1738,2337,1311,3845,2088,660,1215,574,1675,8815
NJNets,42,40,19780,3422,7175,161,508,1775,2318,1215,3570,1789,806,1343,484,1722,8780
NYKnicks,31,51,19855,3082,6727,179,606,1666,2172,1014,3255,1778,669,1249,396,1803,8009
OrlandoMagic,61,21,19705,3426,7045,215,609,1830,2437,1107,3552,2095,791,1271,534,1895,8897
Philadelphia76ers,47,35,19755,3449,7145,189,615,1375,1772,1171,3536,2226,686,1184,454,1766,8462
PhoenixSuns,29,53,19805,3492,7477,180,586,1669,2207,1218,3563,1909,659,1258,493,1931,8707
PortlandTrailBlazers,25,57,19880,3249,7150,244,805,1797,2367,1097,3433,1980,688,1369,433,1957,8539
SacramentoKings,53,29,19830,3557,7420,204,616,1728,2297,1311,3950,2128,816,1357,530,1816,9046
SanAntonioSpurs,35,47,19780,3211,7098,243,700,1587,2061,1103,3465,1882,753,1252,463,1810,9252
SeattleSupersonics,35,47,19855,3263,6864,209,621,1848,2460,1122,3350,1832,697,1320,479,1850,8583
UtahJazz,27,55,19880,3292,7178,234,695,1535,2056,1146,3401,1925,646,1205,458,1958,8353
WashingtonBullets,57,25,20400,3431,7174,212,601,1687,2240,1197,3833,1902,710,1325,450,1689,8761
