AtlantaHawks,15,26,9940,1481,3442,209,607,759,1008,536,1704,794,364,529,149,860,3930,18,2,1
BostonCeltics,16,25,9990,1388,3251,227,713,699,954,456,1797,883,335,646,172,871,3702,11,2,1
NOrleansHornets,12,29,9965,1425,3290,166,526,732,954,460,1601,817,329,593,182,877,3748,14,1,3
ChicagoBulls,14,27,9890,1436,3422,211,681,864,1137,549,1784,962,364,566,183,904,3947,17,1,2
ClevelandCavaliers,27,14,9965,1488,3406,225,648,876,1116,462,1687,946,382,534,244,853,4077,17,2,1
DallasMavericks,8,33,9890,1405,3331,223,683,745,1025,557,1902,815,266,661,162,910,3778,25,4,5
DenverNuggets,28,13,9865,1273,3051,172,534,931,1207,437,1688,849,359,660,267,950,3649,13,0,4
DetroitPistons,11,30,9915,1351,3137,133,420,671,894,421,1638,700,269,574,160,967,3506,19,0,3
GSWarriors,17,24,9840,1581,3546,222,596,799,1047,619,1755,931,348,545,222,1006,4183,22,2,1
HoustonRockets,13,28,9915,1407,3300,185,541,695,896,478,1641,797,316,533,162,875,3694,17,1,2
IndianaPacers,9,32,9890,1375,3356,196,593,712,956,517,1730,810,297,595,262,935,3658,15,0,5
LAClippers,25,16,9865,1492,3391,221,606,729,957,524,1761,880,314,541,182,918,3934,15,1,2
LALakers,10,31,9965,1449,3342,199,573,838,1091,452,1657,854,332,588,136,969,3935,18,1,4
MiamiHeat,25,16,9915,1356,3076,197,549,771,1038,417,1689,668,301,593,205,823,3680,21,2,3
MilwaukeeBucks,16,25,9965,1508,3275,229,609,774,1057,495,1700,881,270,565,129,872,4019,17,0,1
MinnesotaT-wolves,8,33,9915,1489,3422,232,676,658,883,451,1677,935,269,548,184,835,3868,24,1,3
NJNets,8,33,9865,1338,3244,197,579,718,953,457,1645,776,368,688,239,932,3591,32,1,9
NYKnicks,17,24,9940,1464,3237,174,551,838,1093,457,1733,813,313,577,127,810,3940,17,1,0
OrlandoMagic,15,26,9890,1487,3322,185,595,861,1134,507,1752,847,299,654,199,957,4020,22,2,5
Philadelphia76ers,16,25,9965,1432,3192,241,668,809,1040,445,1653,920,341,672,203,968,3914,22,0,2
PhoenixSuns,11,30,9915,1406,3330,217,689,723,935,522,1738,851,305,611,219,905,3752,14,1,2
PortlandTrailBlazers,14,27,9865,1471,3223,212,623,647,831,402,1512,935,332,592,157,841,3801,13,0,2
SacramentoKings,6,35,9915,1461,3609,163,570,695,951,625,1886,793,345,610,161,805,3780,16,1,1
SanAntonioSpurs,8,33,9915,1411,3354,175,526,632,827,492,1649,732,333,607,192,964,3629,19,1,2
SeattleSupersonics,16,25,9940,1380,3183,209,646,646,874,444,1652,780,237,596,198,840,3615,22,2,1
TorontoRaptors,26,15,9915,1491,3296,184,494,760,997,515,1781,808,280,541,184,842,3926,17,2,3
UtahJazz,12,29,9915,1295,3143,208,605,789,1044,489,1526,699,356,625,203,994,3587,29,2,6
MemphisGrizzlies,21,20,10015,1581,3515,219,608,725,950,574,1822,931,365,607,197,923,4106,24,2,3
WashingtonWizards,18,23,9965,1458,3286,211,617,645,839,460,1634,861,318,574,146,933,3772,34,4,4
